timestamp,source,headline,content,category,location,credibility_score,word_count,has_image,shares
2025-05-02 10:13:47.259068,ABP News,Political rally draws thousands in Ahmedabad,Political rally draws thousands in Ahmedabad. Adipisci architecto corporis. Dicta quidem aliquam quod ad aliquid et. Iste illum sapiente voluptate natus illo.,Politics,Ahmedabad,0.5736928388774687,22,True,681
2025-05-05 00:36:48.102654,Hindu,Political rally draws thousands in Ghaziabad,Political rally draws thousands in Ghaziabad. Iure sed maiores veniam voluptates. Placeat molestiae voluptates provident provident. Fuga at ut fuga magni totam recusandae minima. Dolores deserunt ea. Similique officiis modi explicabo nisi ipsa in. Cum dolor hic esse commodi.,Politics,Ghaziabad,0.33618467188020973,39,True,193
2025-05-05 23:11:25.287516,Zee News,Crime news from Ludhiana,Crime news from Ludhiana. Sunt vitae rerum mollitia alias distinctio minima. Voluptatum architecto tempora corrupti. Quisquam esse molestiae dolorem deserunt mollitia iure. Aspernatur deserunt corrupti minus odio magni officia. Dicta itaque explicabo cupiditate.,Crime,Ludhiana,0.3670848782514665,33,False,546
2025-05-01 12:23:30.462922,Hindu,Latest Sports updates in Kolkata,Latest Sports updates in Kolkata. At ipsum dignissimos fugit sed deserunt nobis. Alias accusantium voluptate facilis velit voluptatum voluptatibus. Illum animi voluptates veritatis adipisci veniam illo. Similique maxime ratione dignissimos. Nam inventore nesciunt porro labore enim. Aliquid rerum quas laborum. Modi aperiam consequuntur autem voluptates occaecati praesentium commodi.,Sports,Kolkata,0.8238141337345306,48,True,623
2025-05-13 17:16:22.433448,ABP News,Education development in Lucknow,Education development in Lucknow. Libero eos nihil dolorem eum porro fugiat. Natus deleniti vel natus eos ad. Quae iusto facilis cum occaecati.,Education,Lucknow,0.41206129890807336,22,True,418
2025-05-01 09:53:18.383040,Republic TV,Entertainment development in Agra,Entertainment development in Agra. Nostrum doloribus porro beatae sunt id. Quos laboriosam omnis quibusdam totam. Expedita quidem adipisci voluptatum repudiandae ea. Quam libero officiis recusandae repellendus consectetur sit. Ea saepe dolore itaque blanditiis sunt.,Entertainment,Agra,0.8033821635854435,34,False,431
2025-05-22 23:25:06.464668,ABP News,Latest Sports updates in Thane,Latest Sports updates in Thane. Quos ea itaque rerum veritatis voluptatem et dignissimos. Minus magnam alias id laudantium eveniet voluptas. Delectus aut dolores hic iure. In quos eius. Quaerat consequuntur quaerat quaerat sequi a doloremque magni. Velit ab quia magnam consectetur. Deleniti culpa ut debitis itaque unde esse.,Sports,Thane,0.5556057258430434,48,True,36
2025-05-19 02:54:41.087766,CNN-News18,Road construction project launched in Vadodara,Road construction project launched in Vadodara. Sint rem rem alias similique non. Ipsam corporis eos corrupti cupiditate explicabo nobis. Quam optio consequatur deleniti molestias officiis quaerat. Officiis odit cum dolorum. Officiis nemo architecto nam deserunt inventore facere. Nam consectetur rem alias ipsum ut reiciendis. Deleniti culpa sapiente illo. Exercitationem illo voluptatibus labore perferendis.,Infrastructure,Vadodara,0.44097796441975123,53,True,273
2025-05-07 18:57:17.023770,News18,Road construction project launched in Delhi,Road construction project launched in Delhi. Labore perferendis nesciunt molestiae necessitatibus. Aspernatur excepturi vero nisi occaecati. Illo odio sequi ut explicabo similique quos. Totam nobis architecto praesentium. Quas odio voluptates laboriosam.,Infrastructure,Delhi,0.3985582076250248,31,True,887
2025-05-10 13:52:40.173280,Indian Express,Crime development in Hyderabad,Crime development in Hyderabad. Laudantium error praesentium modi. Optio a perferendis magnam in error. Cum magni neque ullam architecto laudantium dicta. Facere quibusdam asperiores ullam. Ipsam repellat sit nostrum repudiandae magnam nostrum tenetur. Maiores modi porro fugiat eveniet laboriosam.,Crime,Hyderabad,0.6485886735719142,39,False,996
